date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2024-08-27 04:00:00+00:00,73.59051,85.4105,63.630497,77.08257,90.52562,66.64394
2024-08-28 04:00:00+00:00,80.58425,93.1505,70.38049,84.67812,98.0179,72.54122
2024-08-29 04:00:00+00:00,73.5755,80.1905,67.9505,74.93489,84.13764,68.41698
2024-08-30 04:00:00+00:00,68.85424,74.7005,64.530495,68.87382,73.64327,64.89104
2024-08-31 04:00:00+00:00,70.781746,78.030495,63.630497,73.39716,80.172104,66.1166
2024-09-01 04:00:00+00:00,75.2855,84.0605,69.3005,79.20793,86.61533,73.73906
2024-09-02 04:00:00+00:00,70.90174,78.8405,63.2705,68.624016,78.28649,57.104424
2024-09-03 04:00:00+00:00,63.578,72.99049,53.7305,60.030792,70.36839,50.265682
2024-09-04 04:00:00+00:00,64.7555,76.8605,53.8205,63.270832,77.95668,51.789043
2024-09-05 04:00:00+00:00,65.6405,77.7605,54.4505,64.93551,78.010635,53.90114
2024-09-06 04:00:00+00:00,67.57175,79.38049,57.870502,68.525475,81.96097,57.32954
2024-09-07 04:00:00+00:00,67.2455,75.780495,57.2405,67.858986,75.05136,56.75197
2024-09-08 04:00:00+00:00,61.211758,70.9205,52.2005,56.595272,64.83357,49.022686
2024-09-09 04:00:00+00:00,64.02801,76.6805,50.5805,59.97339,72.766945,46.79104
2024-09-10 04:00:00+00:00,66.76926,78.570496,56.3405,64.62771,77.44527,53.52279
2024-09-11 04:00:00+00:00,64.946754,77.5805,53.280502,63.768528,78.603165,51.38819
2024-09-12 04:00:00+00:00,66.7055,78.9305,58.320503,68.37714,80.787926,59.788918
2024-09-13 04:00:00+00:00,67.493004,81.0005,56.6105,69.359184,83.3823,57.483055
2024-09-14 04:00:00+00:00,70.86424,84.960495,58.4105,72.87363,86.28292,58.70443
2024-09-15 04:00:00+00:00,69.296745,82.1705,59.4905,69.796104,83.36566,58.721504
2024-09-16 04:00:00+00:00,65.65923,77.9405,55.1705,65.80085,77.6264,54.77483
2024-09-17 04:00:00+00:00,67.74799,80.5505,58.2305,68.571815,81.50276,58.315563
2024-09-18 04:00:00+00:00,68.768005,74.5205,63.810497,69.00529,72.739,65.46473
2024-09-19 04:00:00+00:00,72.57801,85.140495,61.0205,72.021675,82.99557,59.970257
2024-09-20 04:00:00+00:00,71.19799,81.5405,62.9105,71.26403,81.17676,62.319717
2024-09-21 04:00:00+00:00,68.138,80.3705,59.310497,66.23688,77.507614,57.94101
2024-09-22 04:00:00+00:00,65.49425,77.2205,56.0705,63.60965,75.12073,54.579334
2024-09-23 04:00:00+00:00,62.659245,69.570496,55.4405,60.105534,66.13145,53.70071
2024-09-24 04:00:00+00:00,62.974247,67.9505,56.6105,60.03761,65.22891,54.20414
2024-09-25 04:00:00+00:00,63.881744,68.9405,60.4805,61.388004,65.77701,58.169327
2024-09-26 04:00:00+00:00,68.23176,73.6205,62.4605,71.02894,78.07482,62.51934
2024-09-27 04:00:00+00:00,68.378,71.7305,65.1605,70.703735,75.8936,66.13777
2024-09-28 04:00:00+00:00,63.836742,67.5905,60.4805,63.00938,67.45238,58.190483
2024-09-29 04:00:00+00:00,62.606747,65.1605,61.290497,61.326736,63.71324,58.79101
2024-09-30 04:00:00+00:00,64.148,72.8105,57.4205,63.009815,69.81909,56.624367
2024-10-01 04:00:00+00:00,63.19925,71.5505,57.7805,61.44351,68.600136,56.52375
2024-10-02 04:00:00+00:00,61.043003,68.8505,54.9905,59.804276,67.591606,53.574978
2024-10-03 04:00:00+00:00,63.87425,71.820496,58.6805,64.0543,70.847824,59.362137
2024-10-04 04:00:00+00:00,63.105503,73.710495,53.8205,63.10632,73.55678,53.218132
2024-10-05 04:00:00+00:00,65.321754,74.88049,56.2505,63.6969,70.9429,54.16708
2024-10-06 04:00:00+00:00,60.4655,70.9205,49.6805,58.322704,69.3302,46.86847
2024-10-07 04:00:00+00:00,65.14175,74.070496,59.6705,62.2016,69.919235,55.241173
2024-10-08 04:00:00+00:00,59.453003,69.210495,50.4005,54.653767,63.38684,46.8904
